naics_code,kind_of_business,2014,2013r,2012r,2011r,2010r,2009r,2008r,2007r,2006r,2005r,2004,2003,2002,2001,2000,1999,1998,1997,1996,1995,1994,1993
4521,   Department stores ………………………………………...…………………………………………………………………………………………………,55989,56680,57331,62028,62063,60691,62573,67997,69153,72263,72239,66018,65993,70070,73215,72585,68699,60565,57950,57010,54721,55366
45211,   Department stores ………………………………………...…………………………………………………………………………………………………,55989,56680,57331,62028,62063,60691,62573,67997,69153,72263,72239,66018,65993,70070,73215,72585,68699,60565,57950,57010,54721,55366
452111,      Department stores (except discount dept. stores) ………………………………………...…………………………………………………………………………………………………,22522,22928,23319,25611,25104,23519,25246,29352,30353,33568,30896,29941,31502,31996,35563,35867,33922,34258,34255,32478,32638,32542
452112,      Discount dept. stores ………………………………………...…………………………………………………………………………………………………,33467,33752,34012,36417,36959,37172,37327,38645,38800,38695,41343,36077,34491,38074,37652,36718,34777,26307,23695,24532,22083,22824
4529,   Other general merchandise stores ………………………………………...…………………………………………………………………………………………………,123180,116421,112299,110965,107081,99112,92368,87249,78254,74967,65880,60511,46923,39600,35579,31543,26753,27539,25681,23313,21072,18893
45291,   Warehouse clubs and supercenters ………………………………………...…………………………………………………………………………………………………,99413,92963,89524,89641,88023,80484,75770,71055,62197,60158,51017,46023,35209,27416,24063,20401,16365,17296,15129,12442,11345,7959
45299,   All other gen. merchandise stores ………………………………………...…………………………………………………………………………………………………,23767,23458,22775,21324,19058,18628,16598,16194,16057,14809,14863,14488,11714,12184,11516,11142,10388,10243,10552,10871,9727,10934
453,   Miscellaneous store retailers ………………………………………...…………………………………………………………………………………………………,55434,52632,50583,49201,47526,44320,49130,52935,51183,46970,46572,45516,45069,42788,45376,43397,42291,38948,35736,33285,30304,27399
454,   Nonstore retailers ………………………………………...…………………………………………………………………………………………………,185690,168826,154941,140837,130043,116917,119067,119613,111181,99822,92774,86912,80153,72862,73975,63680,58860,55902,53352,47198,44189,38298
4541,   Electronic shopping and mail-order houses ………………………………………...…………………………………………………………………………………………………,150754,134161,122359,107952,97165,85481,85118,85352,78100,66596,59906,53422,47766,42962,43870,36678,32821,29944,26873,23030,20988,18186
 Footnotes: , Footnotes: , Footnotes: , Footnotes: , Footnotes: , Footnotes: , Footnotes: , Footnotes: , Footnotes: , Footnotes: , Footnotes: ,,,,,,,,,,,,,
"1GAFO represents stores classified in the following NAICS codes: 442, 443, 448, 451, 452, and 4532.  NAICS code 4532 includes office supplies, stationery, and gift stores.","1GAFO represents stores classified in the following NAICS codes: 442, 443, 448, 451, 452, and 4532.  NAICS code 4532 includes office supplies, stationery, and gift stores.","1GAFO represents stores classified in the following NAICS codes: 442, 443, 448, 451, 452, and 4532.  NAICS code 4532 includes office supplies, stationery, and gift stores.","1GAFO represents stores classified in the following NAICS codes: 442, 443, 448, 451, 452, and 4532.  NAICS code 4532 includes office supplies, stationery, and gift stores.","1GAFO represents stores classified in the following NAICS codes: 442, 443, 448, 451, 452, and 4532.  NAICS code 4532 includes office supplies, stationery, and gift stores.","1GAFO represents stores classified in the following NAICS codes: 442, 443, 448, 451, 452, and 4532.  NAICS code 4532 includes office supplies, stationery, and gift stores.","1GAFO represents stores classified in the following NAICS codes: 442, 443, 448, 451, 452, and 4532.  NAICS code 4532 includes office supplies, stationery, and gift stores.","1GAFO represents stores classified in the following NAICS codes: 442, 443, 448, 451, 452, and 4532.  NAICS code 4532 includes office supplies, stationery, and gift stores.","1GAFO represents stores classified in the following NAICS codes: 442, 443, 448, 451, 452, and 4532.  NAICS code 4532 includes office supplies, stationery, and gift stores.","1GAFO represents stores classified in the following NAICS codes: 442, 443, 448, 451, 452, and 4532.  NAICS code 4532 includes office supplies, stationery, and gift stores.","1GAFO represents stores classified in the following NAICS codes: 442, 443, 448, 451, 452, and 4532.  NAICS code 4532 includes office supplies, stationery, and gift stores.",,,,,,,,,,,,,
rRevised Data.,rRevised Data.,rRevised Data.,rRevised Data.,rRevised Data.,rRevised Data.,rRevised Data.,rRevised Data.,rRevised Data.,rRevised Data.,rRevised Data.,,,,,,,,,,,,,
 Note: Estimated measures of sample variability can be found at http://www2.census.gov/retail/releases/current/arts/reliability_tables.xls., Note: Estimated measures of sample variability can be found at http://www2.census.gov/retail/releases/current/arts/reliability_tables.xls., Note: Estimated measures of sample variability can be found at http://www2.census.gov/retail/releases/current/arts/reliability_tables.xls., Note: Estimated measures of sample variability can be found at http://www2.census.gov/retail/releases/current/arts/reliability_tables.xls., Note: Estimated measures of sample variability can be found at http://www2.census.gov/retail/releases/current/arts/reliability_tables.xls., Note: Estimated measures of sample variability can be found at http://www2.census.gov/retail/releases/current/arts/reliability_tables.xls., Note: Estimated measures of sample variability can be found at http://www2.census.gov/retail/releases/current/arts/reliability_tables.xls., Note: Estimated measures of sample variability can be found at http://www2.census.gov/retail/releases/current/arts/reliability_tables.xls., Note: Estimated measures of sample variability can be found at http://www2.census.gov/retail/releases/current/arts/reliability_tables.xls., Note: Estimated measures of sample variability can be found at http://www2.census.gov/retail/releases/current/arts/reliability_tables.xls., Note: Estimated measures of sample variability can be found at http://www2.census.gov/retail/releases/current/arts/reliability_tables.xls.,,,,,,,,,,,,,
"Note: Estimates exclude food services.  Retail total and other subsector totals may include data for kinds of business not shown.  Estimates have not been adjusted for price changes.  Additional information on confidentiality protection, sampling error, nonsampling error, sample design, and definitions can be found on the Internet at http://www.census.gov/retail/arts/how_surveys_are_collected.html.","Note: Estimates exclude food services.  Retail total and other subsector totals may include data for kinds of business not shown.  Estimates have not been adjusted for price changes.  Additional information on confidentiality protection, sampling error, nonsampling error, sample design, and definitions can be found on the Internet at http://www.census.gov/retail/arts/how_surveys_are_collected.html.","Note: Estimates exclude food services.  Retail total and other subsector totals may include data for kinds of business not shown.  Estimates have not been adjusted for price changes.  Additional information on confidentiality protection, sampling error, nonsampling error, sample design, and definitions can be found on the Internet at http://www.census.gov/retail/arts/how_surveys_are_collected.html.","Note: Estimates exclude food services.  Retail total and other subsector totals may include data for kinds of business not shown.  Estimates have not been adjusted for price changes.  Additional information on confidentiality protection, sampling error, nonsampling error, sample design, and definitions can be found on the Internet at http://www.census.gov/retail/arts/how_surveys_are_collected.html.","Note: Estimates exclude food services.  Retail total and other subsector totals may include data for kinds of business not shown.  Estimates have not been adjusted for price changes.  Additional information on confidentiality protection, sampling error, nonsampling error, sample design, and definitions can be found on the Internet at http://www.census.gov/retail/arts/how_surveys_are_collected.html.","Note: Estimates exclude food services.  Retail total and other subsector totals may include data for kinds of business not shown.  Estimates have not been adjusted for price changes.  Additional information on confidentiality protection, sampling error, nonsampling error, sample design, and definitions can be found on the Internet at http://www.census.gov/retail/arts/how_surveys_are_collected.html.","Note: Estimates exclude food services.  Retail total and other subsector totals may include data for kinds of business not shown.  Estimates have not been adjusted for price changes.  Additional information on confidentiality protection, sampling error, nonsampling error, sample design, and definitions can be found on the Internet at http://www.census.gov/retail/arts/how_surveys_are_collected.html.","Note: Estimates exclude food services.  Retail total and other subsector totals may include data for kinds of business not shown.  Estimates have not been adjusted for price changes.  Additional information on confidentiality protection, sampling error, nonsampling error, sample design, and definitions can be found on the Internet at http://www.census.gov/retail/arts/how_surveys_are_collected.html.","Note: Estimates exclude food services.  Retail total and other subsector totals may include data for kinds of business not shown.  Estimates have not been adjusted for price changes.  Additional information on confidentiality protection, sampling error, nonsampling error, sample design, and definitions can be found on the Internet at http://www.census.gov/retail/arts/how_surveys_are_collected.html.","Note: Estimates exclude food services.  Retail total and other subsector totals may include data for kinds of business not shown.  Estimates have not been adjusted for price changes.  Additional information on confidentiality protection, sampling error, nonsampling error, sample design, and definitions can be found on the Internet at http://www.census.gov/retail/arts/how_surveys_are_collected.html.","Note: Estimates exclude food services.  Retail total and other subsector totals may include data for kinds of business not shown.  Estimates have not been adjusted for price changes.  Additional information on confidentiality protection, sampling error, nonsampling error, sample design, and definitions can be found on the Internet at http://www.census.gov/retail/arts/how_surveys_are_collected.html.",,,,,,,,,,,,,
